id,country,code,zone,rate
1,AFGHANISTAN ,9340,7,130
2,AFGHANISTAN ,9360,7,130
3,AFGHANISTAN ,9320,7,130
4,AFGHANISTAN ,9330,7,130
5,AFGHANISTAN ,9350,7,130
6,AFGHANISTAN ,9370,7,130
7,AFGHANISTAN ,9371,7,130
8,AFGHANISTAN ,9375,7,130
9,AFGHANISTAN ,9378,7,130
10,AFGHANISTAN ,9376,7,130
11,AFGHANISTAN ,9377,7,130
12,AFGHANISTAN ,937,7,130
13,AFGHANISTAN ,9372,7,130
14,AFGHANISTAN ,9379,7,130
15,AFGHANISTAN ,9374,7,130
16,AFGHANISTAN ,93,7,130
17,ALBANIA ,35568,9,250
18,ALBANIA ,35567,9,250
19,ALBANIA ,35566,9,250
20,ALBANIA ,35569,9,250
21,ALBANIA ,35551181,9,250
22,ALBANIA ,355,9,250
23,ALBANIA ,35541,9,250
24,ALBANIA ,35542,9,250
25,ALBANIA ,35543,9,250
26,ALBANIA ,35544,9,250
27,ALBANIA ,35545,9,250
28,ALBANIA ,35546,9,250
29,ALGERIA ,21320,10,320
30,ALGERIA ,21321,10,320
31,ALGERIA ,21322,10,320
32,ALGERIA ,21365,10,320
33,ALGERIA ,21366,10,320
34,ALGERIA ,21367,10,320
35,ALGERIA ,21368,10,320
36,ALGERIA ,21369,10,320
37,ALGERIA ,21396190,10,320
38,ALGERIA ,21396191,10,320
39,ALGERIA ,21396192,10,320
40,ALGERIA ,21377,10,320
41,ALGERIA ,21378,10,320
42,ALGERIA ,21379,10,320
43,ALGERIA ,2135,10,320
44,ALGERIA ,213,10,320
45,AMERICAN SAMOA ,16842,4,60
46,AMERICAN SAMOA ,16840,4,60
47,AMERICAN SAMOA ,16841,4,60
48,AMERICAN SAMOA ,16843,4,60
49,AMERICAN SAMOA ,16844,4,60
50,AMERICAN SAMOA ,16845,4,60
51,AMERICAN SAMOA ,16846,4,60
52,AMERICAN SAMOA ,16847,4,60
53,AMERICAN SAMOA ,16848,4,60
54,AMERICAN SAMOA ,16849,4,60
55,ANDORRA ,3763,7,130
56,ANDORRA ,3764,7,130
57,ANDORRA ,3766,7,130
58,ANDORRA ,376,7,130
59,ANGOLA ,2449,6,90
60,ANGOLA ,24492,6,90
61,ANGOLA ,24493,6,90
62,ANGOLA ,24494,6,90
63,ANGOLA ,244,6,90
64,ANGUILLA ,1264581,7,130
65,ANGUILLA ,1264582,7,130
66,ANGUILLA ,1264583,7,130
67,ANGUILLA ,1264584,7,130
68,ANGUILLA ,1264235,7,130
69,ANGUILLA ,1264469,7,130
70,ANGUILLA ,1264476,7,130
71,ANGUILLA ,1264536,7,130
72,ANGUILLA ,1264537,7,130
73,ANGUILLA ,1264538,7,130
74,ANGUILLA ,1264539,7,130
75,ANGUILLA ,1264543,7,130
76,ANGUILLA ,1264729,7,130
77,ANGUILLA ,1264772,7,130
78,ANGUILLA ,1264,7,130
79,ANTARCTICA ,67212,13,1600
80,ANTARCTICA ,6721,13,1600
81,ANTARCTICA ,67211,13,1600
